V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,classLabel
4.6171875,7.5442225,96.991341,6.2310688,74.243502,2.3085938,4.3053187,19.444002,113.95594,0.018035889,18.219113,12160742,5442833.3,1830,1
3.828125,5.2333115,91.306603,5.0820471,67.68965,1.9140625,3.6963731,33.609954,292.76556,0.014953613,34.799839,11585447,5869165,1830,1
5.984375,5.4063019,110.16188,4.4213865,102.90303,2.9921875,6.0338861,87.14999,1332.492,0.023376465,91.457824,27466263,22477398,2760,0
2.9140625,4.4226107,94.296799,6.5431215,73.895453,1.4570313,2.7379163,24.732154,168.49137,0.011383057,25.468194,10403070,5555125.1,1800,1
4.484375,4.5333139,98.297192,3.994144,92.868744,2.2421875,5.2006728,39.773528,430.65585,0.01751709,42.137266,14596068,5043703.4,1690,1
1.7421875,2.5293431,100.58982,2.1036152,87.608824,0.87109375,1.7587274,25.473617,170.51792,0.00680542,29.482902,10170189,5303029.3,1780,1
0.1171875,0.34643502,123.95294,0.3549426,99.352941,0.05859375,0.29453249,70.304791,769.23258,0.000457764,58.512336,11705873,11190054,2870,0
0.421875,0.71661249,117.33333,0.70361832,99.040724,0.2109375,0.71017638,149.8807,3835.0194,0.001647949,112.63558,31236743,26483961,2870,0
7.4453125,7.6351947,87.668662,4.7455364,92.4964,3.7226563,8.3626876,74.978606,1123.0729,0.029083252,71.312484,29049440,11409488,1760,1
3.6953125,3.4812401,109.27895,3.2062374,103.55381,1.8476563,3.6261894,85.17041,1224.8315,0.014434814,94.609455,28536644,24388656,2860,0
0.296875,0.56623324,115.65325,0.42295129,111.42081,0.1484375,0.46170772,92.863348,1309.7393,0.001159668,82.365911,34659947,30965078,3000,0
2.78125,2.6825112,110.94646,1.1432789,105.22689,1.390625,2.7043447,72.102465,983.0718,0.010864258,67.353093,25283431,15604440,2830,0
5.8125,5.204102,97.802657,5.7454567,96.208724,2.90625,6.03316,69.285879,892.76393,0.022705078,83.896602,18459590,9236924.8,1730,1
2.828125,2.8453841,107.8089,1.8362465,105.28202,1.4140625,2.9744727,89.725283,1428.0511,0.011047363,81.273617,30464186,16964587,2950,0
0.0703125,0.25667755,123.92157,0.281373,114.2246,0.03515625,0.20468621,80.925202,892.99129,0.000274658,64.776302,18490968,16941173,2800,0
0.65625,0.99159857,111.19328,0.74369892,109.39736,0.328125,0.88214867,59.993638,812.00953,0.002563477,53.743321,15948871,13091244,2900,0
1.3125,2.2263632,70.932773,1.8055034,77.147059,0.65625,1.5156051,40.824183,379.57449,0.005126953,38.114877,19537364,7074141.1,1810,1
0.6328125,1.4573792,79.320261,0.79305549,60.151261,0.31640625,0.83869902,14.480576,74.144102,0.002471924,16.761768,7597272.2,4521508.9,2310,1
5.7265625,5.4580935,96.288901,5.0225317,92.555986,2.8632813,5.3512743,45.464588,455.69998,0.022369385,46.984617,15135382,5917829.9,1720,1
3.167038699,5.825251906,99.985359,4.84391494,99.819102,1.583519362,3.95916802,140.55428,3899.2179,0.012371245,155.8337,43870389.65,21925492.42,2820,0
4.6171875,8.3704778,99.208122,4.7521234,75.368512,2.3085938,4.5558069,17.837195,102.31874,0.018035889,16.837456,11818191,5230332.1,1840,1
0.9921875,2.0058815,92.520611,0.6010162,70.588235,0.49609375,1.1648379,18.962514,109.42412,0.003875732,22.177096,10163940,5563750.7,1910,1
8.7890625,7.6463695,95.112784,6.1276961,99.810169,4.3945313,8.3818554,89.20801,1232.493,0.034332275,98.357942,43406831,16825403,1650,1
0.1171875,0.38924708,80.941176,0.36010442,137.2437,0.05859375,0.28090256,48.385344,467.34812,0.000457764,51.054142,18635113,14576059,2660,0
0.125,0.3549426,100.85294,0.34223674,97.058824,0.0625,0.24253563,89.30319,1042.7945,0.000488281,78.787526,36550396,33888335,2870,0
4.2890625,4.0917669,113.21633,2.9510441,102.43765,2.1445313,4.5862764,79.796537,1234.3246,0.01675415,88.489577,25356567,21367631,2940,0
3.296875,3.3890964,101.2891,3.2847832,95.336035,1.6484375,3.1945784,36.989757,329.59984,0.012878418,40.381743,14070839,4852437.6,1660,1
0.796875,1.1796127,109.86851,1.1042765,117.06891,0.3984375,1.3006173,104.8658,2454.5263,0.003112793,77.794506,22220033,18293511,2890,0
3.167038699,5.825251906,83.985452,4.84391494,89.099724,1.583519362,3.95916802,61.41258372,926.2525668,0.012371245,60.71126124,43870389.65,21925492.42,1860,1
0.40625,0.71472146,104.52489,0.697251,98.913642,0.203125,0.51425751,51.967611,478.66205,0.001586914,52.861839,21647720,17318380,2880,0
0.171875,0.43669076,97.925134,0.37834792,114.13003,0.0859375,0.28082075,56.604625,533.58662,0.000671387,54.018116,12529979,7199713.1,2970,0
4.375,4.7818555,88.628571,5.7738241,87.953547,2.1875,4.9320878,60.685712,693.78301,0.017089844,80.592371,17481602,9518520.4,1870,1
0.8046875,1.9402841,80.045688,0.82525199,63.315508,0.40234375,1.0946547,19.264912,149.07519,0.003143311,19.386014,7364512.9,4301311,2290,1
0.2890625,0.5771549,121.56439,0.70497215,106.28054,0.14453125,0.49170509,141.42383,3388.2248,0.00112915,112.01843,36274163,25803278,2850,0
5.609375,5.0090224,111.05161,4.4620488,95.483625,2.8046875,6.9412759,84.088087,1592.2971,0.021911621,84.176264,23649704,20308839,3000,0
4.390625,7.3679818,95.289094,5.3252481,73.891929,2.1953125,4.1897327,17.116681,93.905288,0.017150879,16.313034,12376087,5403115,1850,1
4.0703125,4.982147,90.531783,6.5318534,76.309472,2.0351563,4.2806833,31.731038,251.19096,0.015899658,32.6033,11338721,5919078.2,1790,1
3.203125,4.0593227,80.601435,4.9829866,84.765244,1.6015625,4.4135973,34.120382,428.71954,0.012512207,48.081335,14738709,7420033.2,1860,1
0.7109375,0.95696653,111.32773,1.1580077,95.782805,0.35546875,0.72666939,59.576344,597.54639,0.0027771,57.744104,24477073,15149688,2910,0
1.859375,3.4361083,93.010381,2.1834538,72.870266,0.9296875,2.1463461,19.979148,141.98197,0.007263184,21.524213,9644937.6,4940355.4,1880,1
